Level 1	Level 2	Level 3	Level 4	log2FoldChange
Energy Processing	Fermentation	"Acetoin, butanediol metabolism"	Acetoin catabolism protein X	2.396027254
Energy Processing	Fermentation	"Acetoin, butanediol metabolism"	Acetolactate synthase large subunit (EC 2.2.1.6)	-0.549404667
Energy Processing	Fermentation	"Acetoin, butanediol metabolism"	Acetolactate synthase small subunit (EC 2.2.1.6)	-0.602225459
Energy Processing	Fermentation	"Acetoin, butanediol metabolism"	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	-1.183271921
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	1.966025411
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	1.277126074
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	Acetaldehyde dehydrogenase (EC 1.2.1.10)	-0.446970129
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	Acetoacetate metabolism regulatory protein AtoC	2.711979737
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1.128130609
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	Alcohol dehydrogenase (EC 1.1.1.1)	-0.60724637
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1.414910669
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	"Electron transfer flavoprotein, alpha subunit"	1.173184136
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	"Electron transfer flavoprotein, beta subunit"	1.05830384
Energy Processing	Fermentation	Acetone Butanol Ethanol Synthesis	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	1.105766071
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	1.743860978
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	1.966025411
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	1.277126074
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Acetoacetate metabolism regulatory protein AtoC	2.711979737
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1.128130609
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate kinase (EC 2.7.2.7)	1.187443777
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	2.698815162
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	1.63342873
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1.414910669
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	"Electron transfer flavoprotein, alpha subunit"	1.173184136
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	"Electron transfer flavoprotein, beta subunit"	1.05830384
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Ferredoxin-like protein	2.0362703
Energy Processing	Fermentation	Acetyl-CoA fermentation to Butyrate	Phosphate butyryltransferase (EC 2.3.1.19)	1.5606515
Energy Processing	Fermentation	Butanol Biosynthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	1.277126074
Energy Processing	Fermentation	Butanol Biosynthesis	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1.128130609
Energy Processing	Fermentation	Butanol Biosynthesis	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	-0.446970129
Energy Processing	Fermentation	Butanol Biosynthesis	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1.414910669
Energy Processing	Fermentation	Butanol Biosynthesis	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	1.105766071
Energy Processing	Fermentation	Butanol Biosynthesis	NADPH-dependent butanol dehydrogenase (EC 1.1.1.-)	1.453022089
Energy Processing	Fermentation	Fermentations: Lactate	Acetaldehyde dehydrogenase (EC 1.2.1.10)	-0.446970129
Energy Processing	Fermentation	Fermentations: Lactate	D-lactate dehydrogenase (EC 1.1.1.28)	0.892395133
Energy Processing	Fermentation	Fermentations: Lactate	Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	-0.923435348
Energy Processing	Fermentation	Fermentations: Lactate	L-lactate dehydrogenase (EC 1.1.1.27)	-0.51307355
Energy Processing	Fermentation	Fermentations: Lactate	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9)	-0.923435348
