LABELS	Control	Non Pregnant Smokers	Pregnant Non Smokers	Pregnant Smokers
COLORS	#f1b6da	#d01c8b	#b8e186	#4dac26
Bacillus	0	0.0532	0.81673	0.13007
Brachymonas	0.38965	0.24928	0.26732	0.09374
Shuttleworthia	0.09155	0.45193	0.39297	0.06354
Unclassified_Rickettsiales	0	0.33148	0	0.66852
Johnsonella	0.18676	0.76807	0.04516	0
Unclassified_Procabacteriaceae	0	0.07873	0.69047	0.2308
Peptococcus	0.1946	0.32738	0.35028	0.12774
Unclassified_Carnobacteriaceae	0.25703	0.16688	0.4316	0.14449
Sphingomonas	0.30497	0.13543	0.27578	0.28381
Capnocytophaga	0.60346	0.17216	0.1922	0.03217
Limnohabitans	0	0.06811	0.93189	0
Peptostreptococcus	0.24875	0.49192	0.20842	0.05092
Unclassified_Caulobacteraceae	0.12444	0.03006	0.23128	0.61421
Cardiobacterium	0.65135	0.0835	0.23842	0.02673
Unclassified_Coriobacteriaceae	0.05004	0.17181	0.51034	0.26781
Unclassified_Listeriaceae	0	0	0.77913	0.22087
Unclassified_[Mogibacteriaceae]	0.09014	0.41158	0.11609	0.38218
Haemophilus	0.77616	0.13301	0.08483	0.006
Unclassified_TM7-3	0.20057	0.15829	0.54273	0.09841
Unclassified_SR1	0.97158	0.01009	0.01832	0
Unclassified_Enterobacteriaceae	0.03283	0.0018	0.22902	0.73635
Leptothrix	0.2163	0	0.51826	0.26545
Neisseria	0.80278	0.09706	0.08677	0.01339
Unclassified_CW040	0.65574	0.20919	0.13508	0
Unclassified_Bacillales	0	0.07884	0.40591	0.51525
Unclassified_Bacteroidales	0.59465	0.33461	0.06005	0.01069
Unclassified_[Weeksellaceae]	0.5679	0.09254	0.12776	0.21181
Filifactor	0.05293	0.65199	0.03787	0.25721
Gemella	0.378	0.15106	0.29815	0.17279
Unclassified_Gemellaceae	0.37231	0.16962	0.28899	0.16908
Unclassified_Propionibacteriaceae	0.14244	0.28492	0.41046	0.16218
Desulfobulbus	0	0.86279	0.00884	0.12836
Tannerella	0.29794	0.58761	0.00838	0.10607
Afipia	0	0	0.44917	0.55083
Prevotella	0.3262	0.21978	0.18482	0.26919
Streptococcus	0.30509	0.24538	0.23464	0.2149
Enterococcus	0.00241	0.03457	0.22507	0.73795
Dechloromonas	0	0	0.56347	0.43653
Paludibacter	0.35326	0.48441	0.00898	0.15334
Vagococcus	0	0.00211	0.49086	0.50702
Bradyrhizobium	0.0207	0	0.25668	0.72262
Scardovia	0.03668	0.40064	0.15931	0.40337
Rothia	0.24964	0.44454	0.18305	0.12277
Veillonella	0.17811	0.20761	0.24055	0.37373
